Bookmark,,,,,,,,,,,,,,
Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Query%20Builder%20for%20Traffic%20Counts%20(1985%20-%20Last%20Calendar%20Year),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ParkName,UnitCode,ParkType,Region,TrafficCounter,Year,Month,TrafficCount,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionType,TrafficCountTotal,YearTotal,TrafficCountTotal
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BLACK BRUSH POINT,2020,4,"1,990",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BLACK BRUSH POINT,2020,"32,948"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BLACK BRUSH POINT,2020,5,"2,800",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BLACK BRUSH POINT,2020,"32,948"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BLACK BRUSH POINT,2020,6,"2,900",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BLACK BRUSH POINT,2020,"32,948"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BLACK BRUSH POINT,2020,7,"3,574",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BLACK BRUSH POINT,2020,"32,948"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BLACK BRUSH POINT,2020,8,"3,574",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BLACK BRUSH POINT,2020,"32,948"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BLACK BRUSH POINT,2020,9,"1,600",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BLACK BRUSH POINT,2020,"32,948"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BLACK BRUSH POINT,2020,10,"1,824",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BLACK BRUSH POINT,2020,"32,948"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BLACK BRUSH POINT,2020,11,"1,914",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BLACK BRUSH POINT,2020,"32,948"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BLACK BRUSH POINT,2020,12,"1,470",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BLACK BRUSH POINT,2020,"32,948"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BOX CANYON,2020,1,"2,135",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BOX CANYON,2020,"44,110"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BOX CANYON,2020,2,"2,135",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BOX CANYON,2020,"44,110"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BOX CANYON,2020,3,"2,487",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BOX CANYON,2020,"44,110"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BOX CANYON,2020,4,"2,487",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BOX CANYON,2020,"44,110"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BOX CANYON,2020,5,"5,400",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BOX CANYON,2020,"44,110"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BOX CANYON,2020,6,"5,400",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BOX CANYON,2020,"44,110"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BOX CANYON,2020,7,"3,934",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BOX CANYON,2020,"44,110"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BOX CANYON,2020,8,"3,934",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BOX CANYON,2020,"44,110"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BOX CANYON,2020,9,"5,000",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BOX CANYON,2020,"44,110"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BOX CANYON,2020,10,"5,059",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BOX CANYON,2020,"44,110"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BOX CANYON,2020,11,"3,697",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BOX CANYON,2020,"44,110"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BOX CANYON,2020,12,"2,442",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BOX CANYON,2020,"44,110"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2020,1,512,Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2020,"5,630"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2020,2,845,Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2020,"5,630"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2020,3,254,Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2020,"5,630"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2020,4,0,Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2020,"5,630"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2020,5,0,Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2020,"5,630"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2020,6,"1,100",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2020,"5,630"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2020,7,274,Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2020,"5,630"
