Title,Bookmark
Annual Visitation by Park Type or Region for: 2019 By Park Type,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Visitation%20by%20Park%20Type%20or%20Region%20(1979%20-%20Last%20Calendar%20Year)

Heading,ParkName,RecreationVisits,NonRecreationVisits,RecreationVisitorHours,NonRecreationVisitorHours,ConcessionerLodgingOvernights,ConcessionerCampingOvernights,TentOvernights,RecreationVehicleOvernights,BackcountryOvernights,NonRecreationOvernights,MiscellaneousOvernights,GroupTotal,GroupTotalRecreationVisits,GroupTotalNonRecreationVisits,GroupTotalRecreationVisitorHours,GroupTotalNonRecreationVisitorHours,GroupTotalConcessionerLodgingOvernights,GroupTotalConcessionerCampingOvernights,GroupTotalTentOvernights,GroupTotalRecreationVehicleOvernights,GroupTotalBackcountryOvernights,GroupTotalNonRecreationOvernights,GroupTotalMiscellaneousOvernights,ReportTotalRecreationVisits,ReportTotalNonRecreationVisits,ReportTotalRecreationVisitorHours,ReportTotalNonRecreationVisitorHours,ReportTotalConcessionerLodgingOvernights,ReportTotalConcessionerCampingOvernights,ReportTotalTentOvernights,ReportTotalRecreationVehicleOvernights,ReportTotalBackcountryOvernights,ReportTotalNonRecreationOvernights,ReportTotalMiscellaneousOvernights
National Historic Site,Allegheny Portage Railroad NHS,"189,189",180,"291,387",48,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Andersonville NHS,"103,635",0,"207,271",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Andrew Johnson NHS,"51,189",0,"28,203",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Bent's Old Fort NHS,"21,674",0,"37,929",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Boston African American NHS,"419,585",0,"839,170",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Brown v. Board of Education NHS,"21,413",0,"42,826",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Carl Sandburg Home NHS,"78,144",0,"119,955",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Carter G. Woodson Home NHS,"2,381",0,"1,214",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Charles Pinckney NHS,"35,495",0,"70,991",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Christiansted NHS,"103,594",0,"60,075",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
