Title,Bookmark
Annual Visitation by Park Type or Region for: 2019 By Park Type,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Visitation%20by%20Park%20Type%20or%20Region%20(1979%20-%20Last%20Calendar%20Year)

Heading,ParkName,RecreationVisits,NonRecreationVisits,RecreationVisitorHours,NonRecreationVisitorHours,ConcessionerLodgingOvernights,ConcessionerCampingOvernights,TentOvernights,RecreationVehicleOvernights,BackcountryOvernights,NonRecreationOvernights,MiscellaneousOvernights,GroupTotal,GroupTotalRecreationVisits,GroupTotalNonRecreationVisits,GroupTotalRecreationVisitorHours,GroupTotalNonRecreationVisitorHours,GroupTotalConcessionerLodgingOvernights,GroupTotalConcessionerCampingOvernights,GroupTotalTentOvernights,GroupTotalRecreationVehicleOvernights,GroupTotalBackcountryOvernights,GroupTotalNonRecreationOvernights,GroupTotalMiscellaneousOvernights,ReportTotalRecreationVisits,ReportTotalNonRecreationVisits,ReportTotalRecreationVisitorHours,ReportTotalNonRecreationVisitorHours,ReportTotalConcessionerLodgingOvernights,ReportTotalConcessionerCampingOvernights,ReportTotalTentOvernights,ReportTotalRecreationVehicleOvernights,ReportTotalBackcountryOvernights,ReportTotalNonRecreationOvernights,ReportTotalMiscellaneousOvernights
National Historic Site,Maggie L. Walker NHS,"9,602",0,"14,404",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Manzanar NHS,"97,380",0,"146,069",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Martin Van Buren NHS,"20,623",720,"20,871",180,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Mary McLeod Bethune Council House NHS,"3,788",0,"7,576",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Minidoka NHS,"13,647",0,"23,497",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Minuteman Missile NHS,"125,776",0,"97,534",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Nicodemus NHS,"3,540",0,"3,540",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Ninety Six NHS,"97,295",0,"121,615",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Pennsylvania Avenue NHS,"125,035",0,"41,261",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,President W.J. Clinton Birthplace Home NHS,"8,758",0,"8,758",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Pu'ukohola Heiau NHS,"133,573","136,310","66,788","22,709",0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Sagamore Hill NHS,"36,738",0,"91,846",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Saint Paul's Church NHS,"18,537",465,"25,298",241,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Salem Maritime NHS,"339,238",0,"193,574",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,San Juan NHS,"1,197,345",0,"2,348,608",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Sand Creek Massacre NHS,"5,701",0,"11,402",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Saugus Iron Works NHS,"8,150","45,625","12,225","4,566",0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Springfield Armory NHS,"20,979",0,"41,958",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Steamtown NHS,"105,403","11,592","153,610","5,796",0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Theodore Roosevelt Birthplace NHS,"25,978",152,"27,677",25,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Theodore Roosevelt Inaugural NHS,"26,994",0,"50,874",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Thomas Stone NHS,"8,020",0,"4,010",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Tuskegee Airmen NHS,"30,097",0,"45,145",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Tuskegee Institute NHS,"36,395",0,"54,678",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Ulysses S. Grant NHS,"39,449",0,"59,173",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Vanderbilt Mansion NHS,"326,822",0,"411,384",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Washita Battlefield NHS,"9,119",0,"9,119",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Weir Farm NHS,"38,700",0,"72,339",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Whitman Mission NHS,"48,481",888,"48,481",444,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,William Howard Taft NHS,"32,396",0,"32,396",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Abraham Lincoln Birthplace NHP,"238,226",0,"238,226",0,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Adams NHP,"187,400",0,"187,043",0,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Appomattox Court House NHP,"102,397",0,"148,723",0,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Boston NHP,"3,201,834","60,480","2,622,217","10,283",0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Cane River Creole NHP,"29,922",0,"59,843",0,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Chaco Culture NHP,"47,342","10,560","600,949","10,560",0,0,"8,697","6,415",0,0,"1,081",National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Chesapeake & Ohio Canal NHP,"5,116,787","11,880","10,415,718","11,880",0,0,"6,518",592,0,0,"2,771",National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Colonial NHP,"3,327,268","2,107,143","3,523,221","1,053,573",0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Cumberland Gap NHP,"704,598","7,806,085","1,480,826","5,552,780",0,0,"3,299","12,630",548,0,243,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Dayton Aviation Heritage NHP,"94,709",0,"130,226",0,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Fort Sumter and Fort Moultrie NHP,"877,894",0,"2,124,359",0,0,0,0,0,0,0,1,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,George Rogers Clark NHP,"140,130",0,"187,774",0,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Golden Spike NHP,"108,154","31,000","262,305","15,500",0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Harpers Ferry NHP,"299,577",0,"1,198,304",0,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Hopewell Culture NHP,"60,338",0,"120,677",0,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Independence NHP,"4,532,459",0,"6,853,306",0,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Jean Lafitte NHP & PRES,"590,329","192,000","1,250,092","91,320",0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Kalaupapa NHP,"69,401",0,"166,408",0,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Kaloko Honokohau NHP,"232,921",0,"526,594",0,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Keweenaw NHP,"20,535",916,"37,133",916,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Klondike Gold Rush NHP Alaska,"1,116,161",0,"4,597,749",0,0,0,"1,790",0,"5,821",0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Klondike Gold Rush NHP Seattle,"109,799",0,"192,148",0,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Lewis & Clark NHP,"270,993",145,"401,182",37,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Lowell NHP,"481,536",967,"739,359","1,450",0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Lyndon B. Johnson NHP,"111,972",0,"189,757",0,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Manhattan Project NHP,"79,870",0,"114,110",0,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Marsh-Billings-Rockefeller NHP,"45,979",0,"91,958",0,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,"Martin Luther King, Jr. NHP","761,650",0,"1,156,574",0,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Minute Man NHP,"1,017,326",0,"1,525,989",0,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Morristown NHP,"271,330",0,"791,694",0,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Natchez NHP,"182,123",0,"411,855",0,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,New Bedford Whaling NHP,"143,427",0,"74,522",0,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,New Orleans Jazz NHP,"41,049",0,"82,753",0,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Nez Perce NHP,"216,068","1,800","213,918",180,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Ocmulgee Mounds NHP,"146,925",0,"220,387",0,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Palo Alto Battlefield NHP,"149,733",0,"232,691",0,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Paterson Great Falls NHP,"276,985",0,"552,499",0,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Pecos NHP,"43,834",0,"55,983",0,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Pu'uhonua o Honaunau NHP,"414,410",0,"414,410",0,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Rosie The Riveter WWII Home Front NHP,"50,404",0,"151,212",0,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Saint-Gaudens NHP,"31,759",0,"61,693",0,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Salt River Bay NHP & Ecological Pres,"5,215",0,"11,645",0,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,San Antonio Missions NHP,"1,281,121",0,"1,721,291",0,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,San Francisco Maritime NHP,"4,016,598",0,"3,804,779",0,0,0,0,0,0,0,231,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,San Juan Island NHP,"292,507","74,023","468,398","18,508",0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Saratoga NHP,"145,118","74,903","429,050","5,991",0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Sitka NHP,"232,876",0,"141,731",0,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Thomas Edison NHP,"42,224",0,"53,505",0,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
